Tamanho,Media Tempo Gulosa,Beneficio Gulosa,Tamanho Tabela (MxN):,Media Tempo Dinamica,Media Tempo Dinamica/Milhao celulas,Beneficio Dinamica
10,2.6226043701171875e-05,178,1166,0.0004357496897379,0.373713284509396,189
50,8.114178975423177e-05,1196,48144,0.0156074364980061,0.3241823799020892,1196
100,0.0001201629638671,2028,121099,0.037119706471761,0.3065236415805338,2028
200,0.0002392133076985,5229,700284,0.2362756729125976,0.3373997876755683,5232
300,0.0003720124562581,7203,1900213,0.5731206734975179,0.3016086478187013,7203
500,0.0007121562957763,11889,4128741,1.3205392360687256,0.3198406574955236,11889
750,0.0010286966959635,18050,12193236,3.81522544225057,0.3128968751404934,18050
1000,0.0010316371917724,12072,4235231,1.269073247909546,0.2996467602143888,12072
1250,0.0013233025868733,27479,21659814,6.8062690893809,0.314234881674464,27479
1500,0.0018390814463297,33639,35471632,11.637381156285604,0.3280757185427951,33639
2000,0.0024809042612711,43194,55307640,17.501802047093708,0.3164445643873741,43194
2500,0.0024044513702392,20359,9946477,2.832801342010498,0.2848044932904885,20359
3000,0.0058325131734212,15490,5776925,1.6832605997721355,0.2913765714064377,15490
4000,0.0051383972167968,53520,76443106,23.143556197484333,0.302755309255544,53521
5000,0.0062255064646403,58010,87607518,25.793089946111042,0.29441639867152775,58010
